Outcome,Model,Dataset,Precision,Recall
Aesthetic,Emoticon,Training,0.92,0.81
Safety,Emoticon,NewYork,0.92,0.36
Air,Emoticon,Training,0.89,0.76
Greenspace,Emoticon,Training,0.88,0.92
Aesthetic,Emoticon,Test,0.88,0.66
Safety,Emoticon,Test,0.87,0.68
Aesthetic,Emoticon,Dev,0.86,0.7
Aesthetic,Emoticon,NewYork,0.86,0.64
Greenspace,Emoticon,Dev,0.85,0.89
Safety,Emoticon,Dev,0.84,0.63
Greenspace,Emoticon,Test,0.84,0.89
Safety,Emoticon,Training,0.83,0.74
Social,Emoticon,NewYork,0.83,0.48
Exercise,Emoticon,Training,0.82,0.79
Stress,Emoticon,Training,0.81,0.43
Greenspace,Emoticon,NewYork,0.81,0.77
Social,Emoticon,Dev,0.8,0.61
Social,Emoticon,Training,0.79,0.74
Exercise,Emoticon,Dev,0.79,0.73
Air,Emoticon,Dev,0.78,0.57
Exercise,Emoticon,Test,0.76,0.69
Social,Emoticon,Test,0.76,0.59
Stress,Emoticon,Dev,0.73,0.48
Exercise,Emoticon,NewYork,0.72,0.63
Air,Emoticon,Test,0.6,0.55
Stress,Emoticon,NewYork,0.56,0.34
Air,Emoticon,NewYork,0.5,0.7
Stress,Emoticon,Test,0.47,0.29
Safety,No Hashtag,NewYork,0.92,0.34
Safety,No Hashtag,Test,0.9,0.64
Greenspace,No Hashtag,Training,0.89,0.92
Air,No Hashtag,Dev,0.89,0.55
Safety,No Hashtag,Dev,0.87,0.57
Exercise,No Hashtag,Training,0.86,0.75
Greenspace,No Hashtag,Dev,0.86,0.89
Aesthetic,No Hashtag,Test,0.86,0.67
Safety,No Hashtag,Training,0.85,0.65
Aesthetic,No Hashtag,NewYork,0.85,0.61
Aesthetic,No Hashtag,Training,0.84,0.76
Greenspace,No Hashtag,Test,0.84,0.89
Air,No Hashtag,Training,0.83,0.5
Aesthetic,No Hashtag,Dev,0.83,0.65
Social,No Hashtag,NewYork,0.82,0.46
Social,No Hashtag,Training,0.81,0.7
Greenspace,No Hashtag,NewYork,0.81,0.78
Social,No Hashtag,Test,0.8,0.6
Stress,No Hashtag,Training,0.79,0.4
Exercise,No Hashtag,Dev,0.79,0.69
Social,No Hashtag,Dev,0.78,0.58
Exercise,No Hashtag,Test,0.78,0.68
Exercise,No Hashtag,NewYork,0.71,0.56
Stress,No Hashtag,Test,0.7,0.27
Stress,No Hashtag,NewYork,0.65,0.32
Stress,No Hashtag,Dev,0.64,0.3
Air,No Hashtag,Test,0.64,0.47
Air,No Hashtag,NewYork,0.5,0.6
Air,No Location,Training,0.98,0.67
Exercise,No Location,Training,0.94,0.86
